Report_Jahr,Semester,Kategorie,Total,Frauen_%,Auslaendische_%
2019,HS 2019,Medizinische Fakultät,31.6,35.2,
2019,HS 2019,Professuren 1 2 7,206.0,14.1,49.5
2019,HS 2019,Titularprofessuren,387.0,16.3,19.6
2019,HS 2019,Privatdozierende,590.0,24.4,40.2
2019,HS 2019,Externe Lehrpersonen,40.8,35.1,
2019,HS 2019,Vetsuisse Fakultät,141.0,46.8,44.0
2019,HS 2019,Professuren,37.0,32.4,43.2
2019,HS 2019,Titularprofessuren,21.0,28.6,38.1
2019,HS 2019,Privatdozierende,30.0,46.7,60.0
2019,HS 2019,Externe Lehrpersonen,53.0,64.2,37.7
2019,HS 2019,Philosophische Fakultät,50.9,43.6,
2019,HS 2019,Professuren,185.0,38.4,54.1
2019,HS 2019,Titularprofessuren,102.0,33.3,14.7
2019,HS 2019,Privatdozierende,113.0,40.7,42.5
2019,HS 2019,Externe Lehrpersonen,763.0,57.4,45.1
2019,HS 2019,Mathematisch naturwissenschaftliche Fakultät,528.0,28.6,53.4
2019,HS 2019,Professuren 1 2 7,113.0,19.5,61.1
2019,HS 2019,Titularprofessuren,52.0,13.5,23.1
2019,HS 2019,Privatdozierende,89.0,29.2,51.7
2019,HS 2019,Externe Lehrpersonen,274.0,35.0,56.6
2019,HS 2019,Zentrale Dienste der Universität,55.0,72.7,34.5
2019,HS 2019,Professuren,,,
2019,HS 2019,Titularprofessuren,,,
2019,HS 2019,Privatdozierende,1.0,,
2019,HS 2019,Externe Lehrpersonen,54.0,74.1,35.2
2019,HS 2019,Schwerpunkt Forschung und Lehre,14.0,50.0,78.6
2019,HS 2019,Professuren,12.0,50.0,83.3
2019,HS 2019,Titularprofessuren,,,
2019,HS 2019,Privatdozierende,,,
2019,HS 2019,Externe Lehrpersonen,2.0,50.0,50.0
2019,HS 2019,Total,35.6,40.1,
2019,HS 2019,Professuren 1 2 3 4 5 7,713.0,23.8,54.5
2019,HS 2019,Titularprofessuren,634.0,19.2,18.9
2019,HS 2019,Privatdozierende,901.0,28.0,41.9
2019,HS 2019,Externe Lehrpersonen,44.4,40.6,
2019,HS 2018,Theologische Fakultät,75.0,32.0,44.0
2019,HS 2018,Professuren,15.0,20.0,40.0
2019,HS 2018,Titularprofessuren,9.0,22.2,22.2
2019,HS 2018,Privatdozierende,15.0,20.0,46.7
2019,HS 2018,Externe Lehrpersonen,36.0,44.4,50.0
2019,HS 2018,Rechtswissenschaftliche Fakultät,199.0,26.6,21.1
2019,HS 2018,Professuren,54.0,25.9,33.3
2019,HS 2018,Titularprofessuren,38.0,15.8,5.3
2019,HS 2018,Privatdozierende,29.0,27.6,24.1
2019,HS 2018,Externe Lehrpersonen,78.0,32.1,19.2
2019,HS 2018,Wirtschaftswissenschaftliche Fakultät,308.0,19.4,56.8
2019,HS 2018,Professuren 1 3 7,86.0,12.8,75.6
2019,HS 2018,Titularprofessuren,19.0,10.5,15.8
2019,HS 2018,Privatdozierende,28.0,32.1,46.4
2019,HS 2018,Externe Lehrpersonen,175.0,21.7,53.7
2019,HS 2018,Medizinische Fakultät,30.3,34.3,
2019,HS 2018,Professuren 1 2 7,191.0,13.6,52.4
2019,HS 2018,Titularprofessuren,355.0,15.2,19.4
2019,HS 2018,Privatdozierende,509.0,23.8,39.1
2019,HS 2018,Externe Lehrpersonen,38.9,33.9,
2019,HS 2018,Vetsuisse Fakultät,149.0,46.3,46.3
2019,HS 2018,Professuren,38.0,28.9,39.5
