Jahr,Fachbereich,Personalkategorie,Hochschule,Anzahl
1983,6.1 Bauwesen und Geodäsie,Professor/-innen,UZH,0
1983,6.1 Bauwesen und Geodäsie,Übrige Dozierende,UZH,0
1983,6.1 Bauwesen und Geodäsie,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1983,6.2 Maschinen- und Elektroingenieurwissenschaften,Professor/-innen,UZH,0
1983,6.2 Maschinen- und Elektroingenieurwissenschaften,Übrige Dozierende,UZH,0
1983,6.2 Maschinen- und Elektroingenieurwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1983,6.3 Agrar- und Forstwissenschaften,Professor/-innen,UZH,0
1983,6.3 Agrar- und Forstwissenschaften,Übrige Dozierende,UZH,0
1983,6.3 Agrar- und Forstwissenschaften,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1983,6.4 Technische Wissenschaften übergreifend/übrige,Professor/-innen,UZH,0
1983,6.4 Technische Wissenschaften übergreifend/übrige,Übrige Dozierende,UZH,0
1983,6.4 Technische Wissenschaften übergreifend/übrige,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
1983,7 Interdisziplinäre und Andere,Professor/-innen,UZH,0
1983,7 Interdisziplinäre und Andere,Übrige Dozierende,UZH,0
1983,7 Interdisziplinäre und Andere,Assistierende und wissenschaftliche Mitarbeitende,UZH,0
