Fachbereich,Departement,Funktion,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Management- und Sozialwissenschaften,"Geistes-,Soz.u.St.",Lernende,,,,,,,1,1,1,1,0,1,0,,,,,,,
Ausnahme,Gesamtwert,,1.2,1.3,,,,,,,,,,,,,,,,,,
Ausnahme,Ausnahme,Gesamtwert,1.2,1.3,,,,,,,,,,,,,,,,,,
Ausnahme,Ausnahme,Wissenschaftliche Mitarbeiten..,1.2,0.7,,,,,,,,,,,,,,,,,,
Ausnahme,Ausnahme,Techn. & adm. Mitarbeitende,0,0.6,,,,,,,,,,,,,,,,,,
Ausserdep. L&F-Einheiten und Übrige,Gesamtwert,,135.1,163.7,176,205.7,212.2,233.6,236.5,232.4,251,293.3,328,366.9,408.7,461.4,470.9,480.9,488.7,552.8,557.7,570.9
Ausserdep. L&F-Einheiten und Übrige,Ausserdep. L&F-Einheiten und Übrige,Gesamtwert,135.1,163.7,176,205.7,212.2,233.6,236.5,232.4,251,293.3,328,366.9,408.7,461.4,470.9,480.9,488.7,552.8,557.7,570.9
Ausserdep. L&F-Einheiten und Übrige,Ausserdep. L&F-Einheiten und Übrige,Vollprofessor/innen,0.3,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2
Ausserdep. L&F-Einheiten und Übrige,Ausserdep. L&F-Einheiten und Übrige,Wissenschaftliche Mitarbeiten..,42.8,48.8,57.2,67,66.3,80.2,77,65.6,64.5,65.5,73.1,98.5,102.3,125.2,106.6,114.2,113.3,133.7,126.3,122.7
Ausserdep. L&F-Einheiten und Übrige,Ausserdep. L&F-Einheiten und Übrige,Techn. & adm. Mitarbeitende,90,114,117.8,136.8,142.9,150.4,156.5,163.8,181.5,221.8,246.9,262.4,300.4,329.3,359.3,361.7,371.3,415.2,426.4,443.3
Ausserdep. L&F-Einheiten und Übrige,Ausserdep. L&F-Einheiten und Übrige,Lernende,2,1,0,1,2,2,2,2,4,5,7,5,5,5,3,3,2,2,3,3
SL-Stäbe und Abteilungen,Gesamtwert,,995.1,994.7,1004,1027.4,1058,1075.4,1080.8,1123.4,1169.3,1219.6,1247,1289.6,1353.7,1414.5,1492,1526.6,1560.6,1584.8,1615.3,1679.5
SL-Stäbe und Abteilungen,SL-Stäbe und Abteilungen,Gesamtwert,995.1,994.7,1004,1027.4,1058,1075.4,1080.8,1123.4,1169.3,1219.6,1247,1289.6,1353.7,1414.5,1492,1526.6,1560.6,1584.8,1615.3,1679.5
SL-Stäbe und Abteilungen,SL-Stäbe und Abteilungen,Vollprofessor/innen,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5
SL-Stäbe und Abteilungen,SL-Stäbe und Abteilungen,Wissenschaftliche Mitarbeiten..,6.2,8.3,6.5,5.4,5,5.9,4,1.2,2.4,2.2,3.1,4.8,4.5,3.1,1.3,1.1,0,,0.5,0.4
SL-Stäbe und Abteilungen,SL-Stäbe und Abteilungen,Techn. & adm. Mitarbeitende,963,962.3,970.4,994.1,1021,1037.6,1034.8,1081.2,1121,1168.4,1192.9,1226.8,1290.1,1347.4,1409.7,1446.5,1477.6,1493.8,1516.8,1578.1
SL-Stäbe und Abteilungen,SL-Stäbe und Abteilungen,Lernende,22,20,23,24,28,28,38,37,42,45,47,55,55,60,77,74,78,86,93,96
